Uid,Sid,Key,Time,Category,Value,UpdateTime
6503113837,xiaomisports_app,outdoor_walking,1677019236,walking,"{""time"":1677019236,""timezone"":-12,""version"":1,""start_time"":1677019236,""end_time"":1677023084,""proto_type"":2,""sport_type"":2,""duration"":3848,""distance"":5615,""calories"":385,""max_pace"":0,""min_pace"":433,""avg_pace"":685,""max_speed"":0,""steps"":6526,""max_cadence"":0,""avg_cadence"":102,""avg_hrm"":99,""max_hrm"":111,""min_hrm"":88,""rise_height"":-1,""fall_height"":-1,""avg_height"":-20000,""max_height"":-20000,""min_height"":-20000,""train_effect"":3}",1700589457
6503113837,xiaomisports_app,indoor_fitness,1677068186,indoor_fitness,"{""time"":1677068186,""timezone"":-12,""version"":1,""start_time"":1677068186,""end_time"":1677070149,""proto_type"":8,""sport_type"":399,""duration"":1963,""calories"":320,""avg_hrm"":130,""max_hrm"":172,""min_hrm"":98,""train_effect"":24}",1700589456
6503113837,xiaomisports_app,indoor_running,1677070205,running,"{""time"":1677070205,""timezone"":-12,""version"":1,""start_time"":1677070205,""end_time"":1677072031,""proto_type"":3,""sport_type"":3,""duration"":1826,""distance"":660,""calories"":341,""max_pace"":0,""min_pace"":331,""avg_pace"":2765,""steps"":715,""max_cadence"":0,""avg_cadence"":23,""avg_hrm"":143,""max_hrm"":178,""min_hrm"":74,""train_effect"":31}",1700589456
6503113837,xiaomisports_app,indoor_fitness,1677155997,indoor_fitness,"{""time"":1677155997,""timezone"":-12,""version"":1,""start_time"":1677155997,""end_time"":1677157284,""proto_type"":8,""sport_type"":399,""duration"":1287,""calories"":146,""avg_hrm"":106,""max_hrm"":137,""min_hrm"":82,""train_effect"":5}",1700589455
6503113837,xiaomisports_app,indoor_running,1677157305,running,"{""time"":1677157305,""timezone"":-12,""version"":1,""start_time"":1677157305,""end_time"":1677159142,""proto_type"":3,""sport_type"":3,""duration"":1837,""distance"":400,""calories"":337,""max_pace"":0,""min_pace"":409,""avg_pace"":4493,""steps"":476,""max_cadence"":0,""avg_cadence"":16,""avg_hrm"":141,""max_hrm"":173,""min_hrm"":78,""train_effect"":30}",1700589455
6503113837,xiaomisports_app,indoor_fitness,1677503752,indoor_fitness,"{""time"":1677503752,""timezone"":-12,""version"":1,""start_time"":1677503752,""end_time"":1677505528,""proto_type"":8,""sport_type"":399,""duration"":1776,""calories"":234,""avg_hrm"":115,""max_hrm"":144,""min_hrm"":80,""train_effect"":19}",1700589454
6503113837,xiaomisports_app,indoor_running,1677505544,running,"{""time"":1677505544,""timezone"":-12,""version"":1,""start_time"":1677505544,""end_time"":1677507389,""proto_type"":3,""sport_type"":3,""duration"":1845,""distance"":1220,""calories"":324,""max_pace"":0,""min_pace"":407,""avg_pace"":1501,""steps"":1737,""max_cadence"":0,""avg_cadence"":56,""avg_hrm"":137,""max_hrm"":179,""min_hrm"":80,""train_effect"":32}",1700589454
6503113837,xiaomisports_app,indoor_fitness,1677589996,indoor_fitness,"{""time"":1677589996,""timezone"":-12,""version"":1,""start_time"":1677589996,""end_time"":1677591882,""proto_type"":8,""sport_type"":399,""duration"":1886,""calories"":271,""avg_hrm"":121,""max_hrm"":161,""min_hrm"":99,""train_effect"":22}",1700589454
6503113837,xiaomisports_app,indoor_running,1677591970,running,"{""time"":1677591970,""timezone"":-12,""version"":1,""start_time"":1677591970,""end_time"":1677593911,""proto_type"":3,""sport_type"":3,""duration"":1941,""distance"":2030,""calories"":306,""max_pace"":0,""min_pace"":404,""avg_pace"":951,""steps"":2863,""max_cadence"":0,""avg_cadence"":88,""avg_hrm"":128,""max_hrm"":174,""min_hrm"":94,""train_effect"":28}",1700589452
6503113837,xiaomisports_app,indoor_fitness,1677675689,indoor_fitness,"{""time"":1677675689,""timezone"":-12,""version"":1,""start_time"":1677675689,""end_time"":1677678379,""proto_type"":8,""sport_type"":399,""duration"":2690,""calories"":283,""avg_hrm"":101,""max_hrm"":148,""min_hrm"":64,""train_effect"":8}",1700589451
6503113837,xiaomisports_app,indoor_running,1677678450,running,"{""time"":1677678450,""timezone"":-12,""version"":1,""start_time"":1677678450,""end_time"":1677680677,""proto_type"":3,""sport_type"":3,""duration"":2227,""distance"":1300,""calories"":272,""max_pace"":0,""min_pace"":454,""avg_pace"":1712,""steps"":1843,""max_cadence"":0,""avg_cadence"":50,""avg_hrm"":110,""max_hrm"":136,""min_hrm"":79,""train_effect"":15}",1700589451
6503113837,xiaomisports_app,indoor_fitness,1677768317,indoor_fitness,"{""time"":1677768317,""timezone"":-12,""version"":1,""start_time"":1677768317,""end_time"":1677770072,""proto_type"":8,""sport_type"":399,""duration"":1755,""calories"":279,""avg_hrm"":128,""max_hrm"":156,""min_hrm"":96,""train_effect"":22}",1700589450
