Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Caminhada (ms),Duração de Corrida (ms)
15:00:00.000-03:00,15:15:00.000-03:00,,18.601562500000004,,,,,,,,,,13,,,,,
15:15:00.000-03:00,15:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
15:30:00.000-03:00,15:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
15:45:00.000-03:00,16:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
16:00:00.000-03:00,16:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
16:15:00.000-03:00,16:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
16:30:00.000-03:00,16:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
16:45:00.000-03:00,17:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
17:00:00.000-03:00,17:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
17:15:00.000-03:00,17:30:00.000-03:00,,18.6015625,,,,,,,,,,11,,,,,
17:30:00.000-03:00,17:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
17:45:00.000-03:00,18:00:00.000-03:00,,18.6015625,,,,,,,,,,6,,,,,
18:00:00.000-03:00,18:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
18:15:00.000-03:00,18:30:00.000-03:00,1,18.6015625,48.93487489302456,,,,,,0.3262324792431069,0.3262324792431069,0.3262324792431069,75,,,,,
18:30:00.000-03:00,18:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
18:45:00.000-03:00,19:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
19:00:00.000-03:00,19:15:00.000-03:00,,30.040862037354138,18.921484958636164,,,,,,0.7467766004270325,0.8593907349942722,0.634162465859793,62,,,,149645,
19:15:00.000-03:00,19:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
19:30:00.000-03:00,19:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
19:45:00.000-03:00,20:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
20:00:00.000-03:00,20:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
20:15:00.000-03:00,20:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
20:30:00.000-03:00,20:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
20:45:00.000-03:00,21:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
21:00:00.000-03:00,21:15:00.000-03:00,,18.6015625,,,,,,,,,,17,,,,,
21:15:00.000-03:00,21:30:00.000-03:00,,18.6015625,5.219719988589286,,,,,,,,,31,,,,,
21:30:00.000-03:00,21:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
21:45:00.000-03:00,22:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
22:00:00.000-03:00,22:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
22:15:00.000-03:00,22:30:00.000-03:00,,56.58011157638889,36.666485785357544,,,,,,0.6924531145599158,1.1347873962474349,0.2501188328723966,102,,,,307408,84676
22:30:00.000-03:00,22:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
22:45:00.000-03:00,23:00:00.000-03:00,1,27.577847526041666,33.71608245936473,,,,,,0.34281760624037366,0.34281760624037366,0.34281760624037366,54,,,,117425,
23:00:00.000-03:00,23:15:00.000-03:00,,18.6015625,,,,,,,,,,12,,,,,
23:15:00.000-03:00,23:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
23:30:00.000-03:00,23:45:00.000-03:00,,18.6015625,,,,,,,,,,11,,,,,
23:45:00.000-03:00,00:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
