Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg)
16:30:00.000-03:00,16:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,
16:45:00.000-03:00,17:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,
17:00:00.000-03:00,17:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,
17:15:00.000-03:00,17:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,
17:30:00.000-03:00,17:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,
17:45:00.000-03:00,18:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,
18:00:00.000-03:00,18:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,
18:15:00.000-03:00,18:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,
18:30:00.000-03:00,18:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,
18:45:00.000-03:00,19:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,
19:00:00.000-03:00,19:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,
19:15:00.000-03:00,19:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,
19:30:00.000-03:00,19:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,
19:45:00.000-03:00,20:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,
20:00:00.000-03:00,20:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,
20:15:00.000-03:00,20:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,
20:30:00.000-03:00,20:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,
20:45:00.000-03:00,21:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,
21:00:00.000-03:00,21:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,
21:15:00.000-03:00,21:30:00.000-03:00,,18.6015625,,,,,,,,,,27,,,
21:30:00.000-03:00,21:45:00.000-03:00,,18.6015625,,,,,,,,,,12,,,
21:45:00.000-03:00,22:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,
22:00:00.000-03:00,22:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,
22:15:00.000-03:00,22:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,
22:30:00.000-03:00,22:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,
22:45:00.000-03:00,23:00:00.000-03:00,,18.601562500000004,,,,,,,,,,,,,
23:00:00.000-03:00,23:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,
23:15:00.000-03:00,23:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,
23:30:00.000-03:00,23:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,
23:45:00.000-03:00,00:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,
