Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Caminhada (ms)
13:15:00.000-03:00,13:30:00.000-03:00,7,59.890868322916674,368.049818294392,,,,,,0.8769265006086843,1.1691980554530965,0.447867983380991,555,,,,,540134
13:30:00.000-03:00,13:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
13:45:00.000-03:00,14:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
14:00:00.000-03:00,14:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
14:15:00.000-03:00,14:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
14:30:00.000-03:00,14:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
14:45:00.000-03:00,15:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
15:00:00.000-03:00,15:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
15:15:00.000-03:00,15:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
15:30:00.000-03:00,15:45:00.000-03:00,1,29.65701275,44.638993050393275,,,,,,0.6258060136136012,0.9471283612261607,0.30448366600104165,74,,,,,144624
15:45:00.000-03:00,16:00:00.000-03:00,6,23.234602166666665,168.1257330826783,,,,,,0.694779102728482,1.2391029807393013,0.326232494514515,251,,,,,60608
16:00:00.000-03:00,16:15:00.000-03:00,8,87.4,408.30757841296526,1.0,1,,,,0.8360538548276779,1.784271725151473,0.3667351770637362,581,,,,,900000
16:15:00.000-03:00,16:30:00.000-03:00,1,33.95446892708333,46.32501489872992,,,,,,0.8038362738628351,0.8993768231942915,0.7082957245313787,92,,,,,200842
16:30:00.000-03:00,16:45:00.000-03:00,,18.6015625,,,,,,,,,,0,,,,,
16:45:00.000-03:00,17:00:00.000-03:00,,18.6015625,27.403529940093755,,,,,,0.437819291790974,0.437819291790974,0.437819291790974,43,,,,,
17:00:00.000-03:00,17:15:00.000-03:00,1,18.6015625,45.02008490158259,,,,,,0.6589594343783922,0.7832666878290124,0.534652180927772,75,,,,,
17:15:00.000-03:00,17:30:00.000-03:00,1,18.6015625,50.23980489017188,,,,,,0.4516971322980022,0.5179393369761047,0.38545492761989963,84,,,,,
17:30:00.000-03:00,17:45:00.000-03:00,1,18.6015625,37.96401391254352,,,,,,0.9813117990093879,0.9813117990093879,0.9813117990093879,58,,,,,
17:45:00.000-03:00,18:00:00.000-03:00,7,57.04668541666666,,7.0,7,,,,,,,5,,,,471408,
18:00:00.000-03:00,18:15:00.000-03:00,15,92.0,,15.0,15,,,,,,,,,,,900000,
18:15:00.000-03:00,18:30:00.000-03:00,9,62.84989210069444,3.914789991441965,9.0,9,,,,,,,6,,,,542566,
18:30:00.000-03:00,18:45:00.000-03:00,2,18.6015625,61.023928975033755,,,,,,0.32623250724068964,0.32623250724068964,0.32623250724068964,111,,,,,
18:45:00.000-03:00,19:00:00.000-03:00,11,75.47001944444445,,11.0,11,,,,,,,,,,,697312,
19:00:00.000-03:00,19:15:00.000-03:00,,22.18552664930555,,,,,,,,,,,,,,43946,
19:15:00.000-03:00,19:30:00.000-03:00,2,32.535766536458326,17.61655496148884,2.0,2,,,,0.29360924935814736,0.29360924935814736,0.29360924935814736,27,,,,170859,
19:30:00.000-03:00,19:45:00.000-03:00,12,86.16540389756943,16.455601527388577,12.0,12,,,,,,,25,,,,764536,68195
19:45:00.000-03:00,20:00:00.000-03:00,2,18.6015625,65.75498829289268,,,,,,0.4246054989441421,0.7018661646345594,0.32623247684982665,102,,,,,
20:00:00.000-03:00,20:15:00.000-03:00,2,18.6015625,65.89896485593974,,,,,,0.3153580792117915,0.32623249242254126,0.30448366600104165,101,,,,,
20:15:00.000-03:00,20:30:00.000-03:00,2,28.497911963541668,86.17961886247653,,,,,,2.0571145625790668,2.0571145625790668,2.0571145625790668,129,,,,,129461
20:30:00.000-03:00,20:45:00.000-03:00,3,29.312026807291666,133.23851098133258,,,,,,0.8907131822555853,1.23662624920904,0.32623248815142813,207,,,,,140111
20:45:00.000-03:00,21:00:00.000-03:00,,18.6015625,,,,,,,,,,28,,,,,
21:00:00.000-03:00,21:15:00.000-03:00,13,83.99932565104167,,13.0,13,,,,,,,6,,,,801897,
21:15:00.000-03:00,21:30:00.000-03:00,15,92.0,,15.0,15,,,,,,,,,,,900000,
21:30:00.000-03:00,21:45:00.000-03:00,2,31.69396801215278,39.147899914419654,2.0,2,,,,0.3207952882713343,0.3262324938987325,0.31535808264393606,60,,,,160537,
21:45:00.000-03:00,22:00:00.000-03:00,8,58.278462276041665,364.33265772320874,,,,,,0.7606495647150375,1.5067915802259326,0.3438216508961781,538,,,,,519041
22:00:00.000-03:00,22:15:00.000-03:00,3,29.0396614375,174.33035573169622,,,,,,0.7281663950193807,1.3071039211676443,0.30448366600104165,263,,,,,136556
22:15:00.000-03:00,22:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
22:30:00.000-03:00,22:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
22:45:00.000-03:00,23:00:00.000-03:00,4,68.84353255208332,150.92385473170398,,,,,,0.9597330741800969,1.2032507064227944,0.3262324841021912,224,,,,,657250
23:00:00.000-03:00,23:15:00.000-03:00,,18.6015625,,,,,,,,,,3,,,,,
23:15:00.000-03:00,23:30:00.000-03:00,,18.6015625,,,,,,,,,,3,,,,,
23:30:00.000-03:00,23:45:00.000-03:00,,18.6015625,,,,,,,,,,5,,,,,
23:45:00.000-03:00,00:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
